datetime,person_px,person_py,person_x,person_y,time
2021-04-02T05:55:42.651Z,64.0,365.0,140.0,497.0,86.0
2021-04-02T05:55:45.605Z,50.0,365.0,117.0,485.0,87.0
2021-04-02T05:55:48.232Z,8.0,352.0,68.0,473.0,88.0
2021-04-02T05:55:50.218Z,0.0,350.0,52.0,489.0,89.0
,,,,,90.0
2021-04-02T05:55:55.952Z,0.0,341.0,21.0,426.0,91.0
2021-04-02T05:56:00.052Z,0.0,331.0,22.0,420.0,92.0
2021-04-02T05:56:02.775Z,0.0,345.0,16.0,413.0,93.0
2021-04-02T05:56:05.289Z,0.0,335.0,20.0,409.0,94.0
2021-04-02T05:56:08.057Z,0.0,331.0,19.0,415.0,95.0
,,,,,96.0
,,,,,97.0
,,,,,98.0
,,,,,99.0
,,,,,100.0
